n	bubble         selection        insertion        merge             quick         better_quick     std::sort
4	1.1576e-07	1.0957e-07	9.03e-08	7.0841e-07	2.0725e-07	1.4277e-07	2.9972e-07
8	6.1323e-07	4.6126e-07	2.9171e-07	1.73298e-06	5.3688e-07	2.6438e-07	5.3824e-07
16	2.11635e-06	1.22145e-06	7.3031e-07	4.04595e-06	1.32125e-06	1.13322e-06	1.24956e-06
32	7.51531e-06	3.98653e-06	2.07023e-06	9.1053e-06	3.02574e-06	1.98131e-06	4.0408e-06
64	2.6462e-05	1.43745e-05	6.54097e-06	1.93112e-05	6.62392e-06	3.64199e-06	6.203e-06
128	6.60411e-05	3.24437e-05	1.78842e-05	2.96198e-05	1.16964e-05	8.81904e-06	1.34573e-05
256	0.000256001	0.000103944	6.72728e-05	7.63756e-05	2.62433e-05	2.26412e-05	3.51676e-05
512	0.0010069	0.000374095	0.000275294	0.000137537	5.90068e-05	4.86606e-05	6.62018e-05
1024	0.00396242	0.00143428	0.00099448	0.000286915	0.000140171	0.000106789	0.000156645
2048	0.0169158	0.00572052	0.00428381	0.000607012	0.000312638	0.000231597	0.000315384
4096	0.0738084	0.0233052	0.0166607	0.00141275	0.000832143	0.000614649	0.000780571
8192	0.329736	0.0946639	0.0681888	0.00271247	0.0020007	0.00114113	0.00153842
