n	bubble         selection        insertion        merge             quick
5	2.7607e-07	2.741e-07	1.9748e-07	1.71499e-06	4.1279e-07
10	9.3512e-07	8.9802e-07	4.3085e-07	4.0765e-06	9.6115e-07
15	1.95217e-06	1.4102e-06	8.3963e-07	4.81493e-06	1.44477e-06
20	3.26559e-06	2.12239e-06	1.19391e-06	6.04282e-06	1.77773e-06
25	4.19746e-06	2.31047e-06	1.68488e-06	6.19071e-06	1.87445e-06
30	4.86213e-06	3.95431e-06	2.06582e-06	7.73157e-06	2.09513e-06
35	6.09295e-06	3.70562e-06	2.27341e-06	7.62007e-06	2.48519e-06
40	1.04764e-05	7.26688e-06	8.83486e-06	1.04783e-05	3.34203e-06
45	1.14288e-05	4.94458e-06	3.5652e-06	1.36232e-05	3.83702e-06
50	1.16595e-05	5.70668e-06	3.56198e-06	1.0857e-05	3.83083e-06
55	1.41541e-05	6.97315e-06	4.34046e-06	1.30379e-05	4.28462e-06
60	1.69383e-05	8.48586e-06	5.37219e-06	1.30778e-05	4.77393e-06
65	1.90663e-05	8.87183e-06	5.60677e-06	1.50634e-05	5.36467e-06
70	2.2762e-05	1.16214e-05	7.20863e-06	1.61172e-05	5.61709e-06
75	2.52337e-05	1.1268e-05	7.09884e-06	1.65339e-05	6.16315e-06
80	2.78468e-05	1.28939e-05	7.3839e-06	2.05983e-05	6.92283e-06
85	3.19573e-05	1.45157e-05	8.1972e-06	1.89553e-05	7.18853e-06
90	3.55566e-05	1.73371e-05	1.03518e-05	2.10821e-05	8.01475e-06
95	3.86531e-05	1.70799e-05	1.03406e-05	2.29268e-05	8.27696e-06
100	4.57324e-05	1.89643e-05	1.20333e-05	2.3048e-05	8.64475e-06
